k,p,accuracy,time
15,10,80.625,0.2862396240234375
16,1,79.58333333333333,0.24002814292907715
16,2,78.75,0.17981886863708496
16,3,77.91666666666667,0.27940845489501953
16,4,78.125,0.272611141204834
16,5,78.75,0.2431659698486328
16,6,78.54166666666667,0.2748110294342041
16,7,78.95833333333333,0.273669958114624
16,8,78.75,0.23317551612854004
16,9,78.95833333333333,0.31766414642333984
16,10,78.95833333333333,0.26563310623168945
17,1,81.04166666666667,0.18521952629089355
17,2,80.625,0.18293499946594238
17,3,81.25,0.23795223236083984
17,4,81.04166666666667,0.21256351470947266
17,5,80.83333333333333,0.22138476371765137
17,6,80.83333333333333,0.22115159034729004
17,7,81.25,0.21014881134033203
17,8,81.04166666666667,0.22475790977478027
17,9,81.66666666666667,0.25647521018981934
17,10,81.66666666666667,0.21405816078186035
18,1,78.54166666666667,0.20801901817321777
18,2,79.375,0.21218562126159668
18,3,78.75,0.30472517013549805
18,4,79.16666666666666,0.235093355178833
18,5,78.95833333333333,0.2776463031768799
18,6,79.375,0.2682840824127197
18,7,79.58333333333333,0.23195743560791016
18,8,79.79166666666667,0.3080325126647949
18,9,79.79166666666667,0.2658848762512207
18,10,80.0,0.23805928230285645
19,1,80.83333333333333,0.2164013385772705
19,2,80.20833333333334,0.21748805046081543
19,3,81.04166666666667,0.23384547233581543
19,4,81.45833333333333,0.2728583812713623
19,5,81.25,0.26421380043029785
19,6,81.45833333333333,0.2327287197113037
19,7,81.875,0.29927873611450195
19,8,81.875,0.2712705135345459
19,9,81.875,0.2312183380126953
19,10,81.875,0.2666468620300293
20,1,78.95833333333333,0.1631472110748291
20,2,78.75,0.1542661190032959
20,3,78.75,0.2747962474822998
20,4,78.95833333333333,0.2646946907043457
20,5,79.16666666666666,0.2760796546936035
20,6,78.75,0.276470422744751
20,7,78.95833333333333,0.3536183834075928
20,8,78.75,0.32747364044189453
20,9,79.16666666666666,0.23834514617919922
20,10,79.16666666666666,0.26684141159057617
21,1,81.04166666666667,0.25426220893859863
21,2,81.66666666666667,0.18148136138916016
21,3,81.875,0.2807495594024658
21,4,81.875,0.2671642303466797
21,5,81.875,0.23366856575012207
21,6,82.08333333333333,0.30230045318603516
21,7,82.29166666666666,0.2642850875854492
21,8,82.29166666666666,0.23191094398498535
21,9,82.08333333333333,0.29202795028686523
21,10,82.08333333333333,0.2638065814971924
22,1,80.0,0.17803001403808594
22,2,80.20833333333334,0.21592020988464355
22,3,79.16666666666666,0.2673685550689697
22,4,79.375,0.23314547538757324
22,5,80.0,0.26874375343322754
22,6,80.41666666666667,0.26624464988708496
22,7,80.41666666666667,0.2421729564666748
22,8,80.41666666666667,0.21015262603759766
22,9,80.41666666666667,0.22074675559997559
22,10,80.41666666666667,0.22383546829223633
23,1,80.83333333333333,0.19238662719726562
23,2,81.875,0.19658637046813965
23,3,81.25,0.2188243865966797
23,4,82.29166666666666,0.20955133438110352
23,5,82.70833333333333,0.2398231029510498
23,6,82.29166666666666,0.21886086463928223
23,7,81.66666666666667,0.21374058723449707
23,8,81.66666666666667,0.23322486877441406
23,9,81.66666666666667,0.24287962913513184
23,10,81.66666666666667,0.23214960098266602
24,1,80.20833333333334,0.21886682510375977
24,2,80.20833333333334,0.21024775505065918
24,3,80.20833333333334,0.2336881160736084
24,4,80.83333333333333,0.2677936553955078
24,5,80.83333333333333,0.2651071548461914
24,6,80.83333333333333,0.23106956481933594
24,7,80.625,0.2624497413635254
24,8,80.41666666666667,0.26402974128723145
24,9,80.41666666666667,0.2620365619659424
24,10,80.41666666666667,0.23229002952575684
25,1,81.04166666666667,0.22080111503601074
25,2,81.875,0.2111496925354004
25,3,81.45833333333333,0.23403143882751465
25,4,81.875,0.30466437339782715
25,5,81.875,0.33266282081604004
25,6,81.875,0.2320389747619629
25,7,81.45833333333333,0.31473398208618164
25,8,81.45833333333333,0.2620584964752197
25,9,81.66666666666667,0.2382662296295166
25,10,81.45833333333333,0.2699124813079834
26,1,79.79166666666667,0.21299266815185547
26,2,80.625,0.17580270767211914
26,3,80.41666666666667,0.2639133930206299
26,4,81.04166666666667,0.2648768424987793
26,5,81.04166666666667,0.23132801055908203
26,6,80.625,0.26552391052246094
26,7,80.625,0.3105008602142334
26,8,80.625,0.2298290729522705
26,9,80.83333333333333,0.2790346145629883
26,10,80.83333333333333,0.2642817497253418
27,1,81.04166666666667,0.21643424034118652
27,2,82.5,0.17632532119750977
27,3,82.5,0.2737729549407959
27,4,82.29166666666666,0.2652461528778076
27,5,82.08333333333333,0.2316904067993164
27,6,81.875,0.2688329219818115
27,7,82.08333333333333,0.2639045715332031
27,8,82.08333333333333,0.21116089820861816
27,9,81.875,0.24179482460021973
27,10,81.875,0.3452322483062744
28,1,80.20833333333334,0.20915937423706055
28,2,80.83333333333333,0.23757672309875488
28,3,80.83333333333333,0.2894859313964844
28,4,80.20833333333334,0.23001980781555176
28,5,80.625,0.28772449493408203
28,6,80.83333333333333,0.27660512924194336
28,7,80.625,0.23251795768737793
28,8,80.625,0.29871463775634766
28,9,80.625,0.2698554992675781
28,10,80.625,0.23347926139831543
29,1,81.25,0.24446845054626465
29,2,82.29166666666666,0.21157431602478027
29,3,82.29166666666666,0.2692885398864746
29,4,81.45833333333333,0.2572615146636963
29,5,81.25,0.26826930046081543
29,6,81.66666666666667,0.2637801170349121
29,7,81.66666666666667,0.22327876091003418
29,8,81.45833333333333,0.25518155097961426
29,9,81.45833333333333,0.2489643096923828
29,10,81.45833333333333,0.22289609909057617
30,1,80.0,0.1817622184753418
